Product,Category,Rating,Review,Platform,Date,review_length
Samsung Galaxy S23,Phone,4,not great town conference upon opportunity impact,AMAZON,2024-09-24 00:00:00,49
 Samsung Galaxy S22 ,Phone,5,excellent hit culture few not try where general,AMAZON,2024-11-26 00:00:00,47
Samsung Galaxy Tab S7 FE,Phone,4,excellent test ok different issue scene season,AMAZON,2024-02-13 00:00:00,46
Samsung Galaxy M53,Phone,2,waste of money issue battery draining fast,flipkart,2024-05-05 00:00:00,42
 Samsung Galaxy S22 ,Phone,2,excellent issue charging problem,AMAZON,2022-05-28 00:00:00,32
 Samsung Galaxy A34 ,Phone,3,average how the suffer wait,AMAZON,2023-01-15 00:00:00,27
 Samsung Buds 2 ,Earbuds,5,not great course event community close relate age phone,amazon,2023-10-27 00:00:00,55
Samsung Crystal UHD TV,TV,3,love the camera quality,FLIPKART,2023-08-27,23
 Samsung Air Conditioner ,Other,2,build quality feels premium,AMAZON,2023-01-30,27
Samsung Washing Machine,Other,2,not as expected returning it,AMAZON,2024-07-21,28
 Samsung Galaxy Tab S7 FE ,Phone,5,average may audience scientist unit their less,AMAZON,2023-07-18 00:00:00,46
Samsung Charger 25W,Charger,3,average former light task present might difference true music issue charging problem,AMAZON,2022-11-06 00:00:00,84
Samsung Charger 25W,Charger,3,bad live relationship like concern issue charging problem,flipkart,2022-03-27 00:00:00,57
Samsung Galaxy Tab A8,Phone,4,good,amazon,2023-09-15 00:00:00,4
Samsung Galaxy A54,Phone,3,good adult share animal trial interesting room husband look,flipkart,2024-12-04 00:00:00,59
Samsung Galaxy Buds2,Phone,3,amazing display quality,FLIPKART,2023-03-25,23
Samsung Buds Live,Earbuds,4,bad wind everyone fire resource many,AMAZON,2024-02-27 00:00:00,36
Samsung Galaxy S23,Phone,1,good issue battery draining fast,amazon,2023-04-07 00:00:00,32
 Samsung Galaxy Tab A8 ,Phone,5,average,amazon,2022-04-01 00:00:00,7
Samsung Galaxy A34,Phone,3,good benefit safe special buy commercial issue slow performance,FLIPKART,2022-12-01 00:00:00,63
 Samsung Galaxy Tab A8 ,Phone,5,bad capital summer country much,flipkart,2023-05-30 00:00:00,31
 Samsung Crystal UHD TV ,TV,3,nice product but a bit overpriced,amazon,2023-05-24,33
Samsung Galaxy Z Fold5,Phone,1,speaker quality is amazing,amazon,2024-10-20,26
Samsung Galaxy M14,Phone,4,bad easy card chair else program same two,FLIPKART,2024-10-16 00:00:00,41
Samsung Refrigerator,Other,2,love the camera quality,flipkart,2024-04-26,23
Samsung Soundbar,Other,1,speaker quality is amazing,AMAZON,2023-04-28,26
 Samsung Galaxy M53 ,Phone,1,waste of money college carry rise personal test production,amazon,2024-11-10 00:00:00,58
 Samsung Galaxy A54 ,Phone,3,bad,flipkart,2022-02-12 00:00:00,3
 Samsung Galaxy A34 ,Phone,4,not great enjoy including look glass system finish note seek,FLIPKART,2023-12-18 00:00:00,60
 Samsung Galaxy A34 ,Phone,4,bad,AMAZON,2025-01-01 00:00:00,3
 Samsung Buds 2 ,Earbuds,2,bad hotel mother order couple certainly science two save issue display flickering,flipkart,2023-09-01 00:00:00,81
 Samsung Galaxy A34 ,Phone,3,excellent issue slow performance,amazon,2022-06-13 00:00:00,32
 Samsung Galaxy Z Fold5 ,Phone,1,excellent product very satisfied,FLIPKART,2023-07-10,32
Samsung Galaxy Tab A8,Phone,4,worth it several base point finally someone whole,amazon,2023-11-17 00:00:00,49
Samsung Galaxy Tab S7 FE,Phone,5,bad,flipkart,2022-06-11 00:00:00,3
Samsung Buds Live,Earbuds,3,waste of money issue overheating issue,FLIPKART,2024-03-14 00:00:00,38
 Samsung Galaxy Book 2 ,Phone,4,good,flipkart,2024-04-29 00:00:00,4
Samsung Galaxy S23,Phone,1,average spend nor save tonight administration issue battery draining fast,amazon,2022-05-11 00:00:00,73
Samsung Galaxy A14,Phone,3,good education meet fly treatment,AMAZON,2022-03-18 00:00:00,33
Samsung Galaxy A54,Phone,3,average fight relate technology mrs happen better issue camera quality is poor,amazon,2023-08-08 00:00:00,78
Samsung Galaxy Z Fold5,Phone,2,delivery was delayed but the product is great,flipkart,2024-02-28,45
Samsung Buds Live,Earbuds,5,average seek reality so production,FLIPKART,2023-05-08 00:00:00,34
Samsung Galaxy A34,Phone,3,bad military expect above step avoid design issue display flickering,flipkart,2023-11-05 00:00:00,68
 Samsung Galaxy S22 ,Phone,2,not great class this someone number hotel memory size,AMAZON,2022-02-21 00:00:00,53
 Samsung Galaxy S21 FE ,Phone,2,worth it onto authority city between quality time issue battery draining fast,flipkart,2024-05-09 00:00:00,77
 Samsung Galaxy Book 3 ,Phone,4,worth it,FLIPKART,2024-07-27 00:00:00,8
Samsung Galaxy S21 FE,Phone,5,not great because away make talk page turn every,FLIPKART,2024-10-22 00:00:00,48
Samsung Galaxy M53,Phone,4,excellent though give civil spend mouth must,amazon,2023-03-30 00:00:00,44
Samsung Galaxy S22,Phone,4,worth it,flipkart,2022-06-24 00:00:00,8
Samsung Buds Live,Earbuds,2,bad,flipkart,2024-03-25 00:00:00,3
Samsung Galaxy Tab S7 FE,Phone,3,not great site level commercial she nothing,flipkart,2024-12-11 00:00:00,43
Samsung Air Conditioner,Other,1,speaker quality is amazing,AMAZON,2023-03-21,26
 Samsung Galaxy M14 ,Phone,4,average enough book sort goal send nature,FLIPKART,2022-07-05 00:00:00,41
Samsung Galaxy Book 2,Phone,4,average out song nor,FLIPKART,2023-04-14 00:00:00,20
 Samsung Galaxy S21 FE ,Phone,3,good dog enjoy worker sea minute stop them significant issue camera quality is poor,AMAZON,2022-12-13 00:00:00,83
Samsung Galaxy S22,Phone,4,bad form book lead full coach just condition,amazon,2022-07-31 00:00:00,44
Samsung Galaxy S21 FE,Phone,5,average some rest game understand tonight method under,FLIPKART,2023-03-03 00:00:00,54
 Samsung Galaxy S23 ,Phone,3,bad wall prevent before magazine order likely,amazon,2022-01-14 00:00:00,45
Samsung Galaxy S23,Phone,5,average likely wife hotel inside try let,amazon,2023-09-12 00:00:00,40
Samsung Galaxy M34,Phone,4,worth it hundred majority activity,AMAZON,2024-09-13 00:00:00,34
Samsung Galaxy Tab A8,Phone,1,waste of money issue charging problem,flipkart,2024-08-03 00:00:00,37
Samsung Galaxy Tab A8,Phone,5,average,FLIPKART,2022-01-08 00:00:00,7
Samsung Galaxy M14,Phone,4,not great heavy young national,FLIPKART,2023-01-14 00:00:00,30
Samsung Galaxy Tab S7 FE,Phone,4,waste of money decision various but ago,amazon,2023-07-12 00:00:00,39
Samsung Galaxy S23,Phone,3,good alone suggest again issue charging problem,amazon,2024-08-24 00:00:00,47
Samsung Galaxy Watch6,Phone,3,featurepacked and smooth experience,AMAZON,2024-02-20,35
Samsung Buds 2,Earbuds,4,not great success positive however free require check feel,amazon,2022-06-03 00:00:00,58
 Samsung Galaxy M14 ,Phone,4,bad budget story culture ok much throw,AMAZON,2022-05-13 00:00:00,38
Samsung Galaxy Book 2,Phone,1,good hospital recognize low issue camera quality is poor,amazon,2024-11-06 00:00:00,56
 Samsung Galaxy M34 ,Phone,3,average condition scene treatment really case expect issue slow performance,amazon,2023-03-30 00:00:00,75
Samsung Buds Live,Earbuds,3,bad issue display flickering,FLIPKART,2023-06-14 00:00:00,28
 Samsung Galaxy A34 ,Phone,5,waste of money concern draw wind author,amazon,2023-06-05 00:00:00,39
 Samsung Galaxy A14 ,Phone,2,not great,FLIPKART,2023-09-20 00:00:00,9
Samsung Galaxy Book 3,Phone,4,good case series result,FLIPKART,2024-07-09 00:00:00,23
Samsung Galaxy Tab A8,Phone,5,average fight next oil property their area,flipkart,2024-04-23 00:00:00,42
 Samsung Galaxy Book 2 ,Phone,1,not great,AMAZON,2022-01-30 00:00:00,9
 Samsung Charger 25W ,Charger,3,average travel usually product catch issue battery draining fast,FLIPKART,2024-02-15 00:00:00,64
Samsung Charger 25W,Charger,3,bad however door lead box world interesting issue display flickering,flipkart,2023-04-04 00:00:00,68
Samsung Galaxy M34,Phone,4,waste of money few measure conference art,flipkart,2023-10-17 00:00:00,41
 Samsung Galaxy Tab A8 ,Phone,3,worth it produce land adult off better,amazon,2023-10-09 00:00:00,38
Samsung Galaxy Z Fold5,Phone,5,performance is topnotch,flipkart,2025-01-08,23
Samsung Galaxy A34,Phone,2,waste of money issue charging problem,amazon,2022-08-22 00:00:00,37
Samsung Galaxy S21 FE,Phone,4,good space law build,flipkart,2024-06-28 00:00:00,20
Samsung Buds Live,Earbuds,4,good,flipkart,2024-10-13 00:00:00,4
 Samsung Galaxy S21 FE ,Phone,3,good night work trial water with like issue display flickering,AMAZON,2022-12-25 00:00:00,62
Samsung Galaxy Book 2,Phone,4,excellent test congress shake seven,FLIPKART,2024-09-22 00:00:00,35
 Samsung Galaxy Book 3 ,Phone,5,bad official group new every around choice,FLIPKART,2024-08-07 00:00:00,42
Samsung Galaxy A14,Phone,3,excellent provide agreement left throughout former issue charging problem,AMAZON,2023-02-04 00:00:00,73
Samsung Galaxy M53,Phone,5,excellent white significant allow degree,flipkart,2024-07-17 00:00:00,40
 Samsung Galaxy Tab A8 ,Phone,4,not great continue treatment amount heavy,amazon,2022-08-28 00:00:00,41
Samsung Galaxy Book 3,Phone,5,waste of money together reveal term book,amazon,2022-06-14 00:00:00,40
 Samsung Galaxy M53 ,Phone,3,good season place stock situation later before,amazon,2023-01-05 00:00:00,46
Samsung Galaxy Book 2,Phone,1,waste of money issue slow performance,AMAZON,2023-06-24 00:00:00,37
Samsung Galaxy Book 2,Phone,3,good throughout organization its white travel focus,FLIPKART,2024-10-01 00:00:00,51
Samsung Galaxy M34,Phone,5,good,flipkart,2024-12-05 00:00:00,4
 Samsung Galaxy Book 3 ,Phone,4,excellent blue word those forget,flipkart,2023-05-15 00:00:00,32
Samsung Galaxy Tab S7 FE,Phone,1,good spring stage talk house attorney kind rate population issue slow performance,amazon,2022-11-29 00:00:00,81
Samsung Galaxy M34,Phone,4,not great,AMAZON,2023-09-05 00:00:00,9
 Samsung Galaxy M53 ,Phone,4,average,FLIPKART,2022-09-21 00:00:00,7
Samsung Galaxy A34,Phone,4,waste of money much something because education along,amazon,2024-09-28 00:00:00,53
Samsung Galaxy Tab A8,Phone,4,bad,amazon,2022-10-31 00:00:00,3
Samsung Galaxy S23,Phone,3,average nor piece example other white brother,flipkart,2024-09-23 00:00:00,45
Samsung Galaxy A34,Phone,5,average course director marriage international travel kid animal,FLIPKART,2023-02-12 00:00:00,64
 Samsung Galaxy Book 2 ,Phone,4,waste of money culture give church network realize guess raise,flipkart,2024-04-14 00:00:00,62
Samsung Galaxy M53,Phone,2,bad nice deal follow record issue battery draining fast,amazon,2024-01-17 00:00:00,55
Samsung Galaxy M34,Phone,3,not great decide food however job window western want,FLIPKART,2024-04-02 00:00:00,53
 Samsung Galaxy M14 ,Phone,4,excellent,amazon,2022-09-21 00:00:00,9
Samsung Galaxy S23,Phone,5,average something budget finish travel,FLIPKART,2022-01-20 00:00:00,38
 Samsung Galaxy S22 ,Phone,3,love the camera quality,amazon,2023-04-12,23
Samsung Charger 25W,Charger,5,good vote dark two usually necessary yourself,flipkart,2024-04-23 00:00:00,45
Samsung Charger 25W,Charger,2,average page the somebody none team nearly space issue charging problem,FLIPKART,2024-08-11 00:00:00,71
Samsung Galaxy Z Fold5,Phone,3,heats up sometimes during heavy usage,FLIPKART,2023-06-29,37
 Samsung Galaxy M14 ,Phone,4,average,AMAZON,2023-09-08 00:00:00,7
Samsung Galaxy Watch6,Phone,3,performance is topnotch,amazon,2023-09-04,23
 Samsung Galaxy Watch6 ,Phone,2,heats up sometimes during heavy usage,amazon,2024-02-08,37
 Samsung Buds 2 ,Earbuds,5,excellent mr we security always economic,flipkart,2023-03-04 00:00:00,40
Samsung Galaxy Book 2,Phone,1,good,AMAZON,2022-02-03 00:00:00,4
Samsung Galaxy Tab A8,Phone,3,excellent traditional service news production,amazon,2023-06-20 00:00:00,45
Samsung Galaxy S23,Phone,1,waste of money,flipkart,2022-07-23 00:00:00,14
 Samsung Charger 25W ,Charger,3,average place card find manager garden,AMAZON,2023-05-29 00:00:00,38
 Samsung Charger 25W ,Charger,3,worth it,FLIPKART,2024-06-15 00:00:00,8
Samsung Galaxy Tab S7 FE,Phone,4,worth it finally buy scene media agency president another actually,AMAZON,2022-11-06 00:00:00,66
Samsung Galaxy S23,Phone,5,bad tell public free control hundred window another music,amazon,2023-11-05 00:00:00,57
 Samsung Galaxy S23 ,Phone,1,performance is topnotch,FLIPKART,2024-11-26,23
Samsung Galaxy S21 FE,Phone,1,average stage four along suddenly people prove strategy,flipkart,2024-12-01 00:00:00,55
Samsung Galaxy A54,Phone,5,average play effort practice although center really consider condition,amazon,2024-03-21 00:00:00,70
Samsung Galaxy A14,Phone,5,bad with one water truth early film result,FLIPKART,2024-11-10 00:00:00,42
Samsung Buds 2,Earbuds,4,excellent black machine black something,AMAZON,2024-04-18 00:00:00,39
Samsung Galaxy M34,Phone,2,worth it most add visit organization say,AMAZON,2023-12-31 00:00:00,40
Samsung Galaxy Book 2,Phone,2,average interesting share whose left matter,AMAZON,2023-01-25 00:00:00,43
Samsung Galaxy A54,Phone,4,average himself show suggest catch,FLIPKART,2023-05-05 00:00:00,34
 Samsung Galaxy A54 ,Phone,5,bad grow strategy form follow least moment,AMAZON,2023-05-15 00:00:00,42
 Samsung Galaxy Tab A8 ,Phone,2,excellent issue battery draining fast,AMAZON,2022-12-17 00:00:00,37
Samsung Washing Machine,Other,5,excellent product very satisfied,AMAZON,2023-11-17,32
 Samsung Galaxy A54 ,Phone,4,average,amazon,2022-02-13 00:00:00,7
Samsung Galaxy M34,Phone,4,worth it know usually degree person total,FLIPKART,2022-04-13 00:00:00,41
Samsung Galaxy S23,Phone,4,bad account office rise high others vote until toward,flipkart,2023-11-09 00:00:00,53
Samsung Buds 2,Earbuds,4,bad threat career ago war,AMAZON,2024-03-03 00:00:00,25
Samsung Galaxy M34,Phone,3,good note fund kind war many,AMAZON,2024-01-06 00:00:00,28
Samsung Soundbar,Other,3,featurepacked and smooth experience,amazon,2024-10-13,35
 Samsung Galaxy S23 ,Phone,4,bad,amazon,2022-08-12 00:00:00,3
Samsung Galaxy A54,Phone,3,not worth the price,FLIPKART,2023-06-28,19
Samsung Galaxy A54,Phone,2,software updates are slow,AMAZON,2024-04-10,25
Samsung Galaxy M34,Phone,4,bad summer few something along,flipkart,2022-02-04 00:00:00,30
Samsung Buds 2,Earbuds,2,good family attack hot recognize address tax,AMAZON,2022-02-27 00:00:00,44
 Samsung Galaxy S21 FE ,Phone,4,good,AMAZON,2024-07-07 00:00:00,4
Samsung Galaxy M53,Phone,4,not great,flipkart,2022-11-15 00:00:00,9
Samsung Buds Live,Earbuds,4,average population force fast open hot,AMAZON,2023-12-03 00:00:00,38
Samsung Refrigerator,Other,2,amazing display quality,AMAZON,2023-03-03,23
Samsung Galaxy A34,Phone,5,good evidence guy list difficult discuss event argue,AMAZON,2023-02-09 00:00:00,52
 Samsung Galaxy Tab S7 FE ,Phone,5,waste of money wide build fine than report send,AMAZON,2023-03-23 00:00:00,47
 Samsung Galaxy A34 ,Phone,4,worth it far into message language site,AMAZON,2022-01-04 00:00:00,39
Samsung Buds Live,Earbuds,4,average human authority whatever couple start rule benefit,amazon,2023-09-09 00:00:00,58
Samsung Galaxy Tab S7 FE,Phone,5,worth it decide opportunity once us machine,amazon,2022-03-05 00:00:00,43
Samsung Galaxy Book 3,Phone,4,worth it available take pretty door join discuss near,flipkart,2024-07-19 00:00:00,53
 Samsung Galaxy Book 3 ,Phone,2,average really fall pretty let physical small result,FLIPKART,2022-06-01 00:00:00,52
Samsung Galaxy Book 2,Phone,4,average quickly interview explain like,amazon,2023-10-07 00:00:00,38
Samsung Galaxy Tab S7 FE,Phone,4,bad factor culture decade prevent will specific stock,AMAZON,2022-12-09 00:00:00,53
Samsung Galaxy Book 3,Phone,5,good none budget per city,FLIPKART,2023-02-07 00:00:00,25
 Samsung Galaxy A54 ,Phone,4,not great,flipkart,2023-11-29 00:00:00,9
 Samsung Galaxy M34 ,Phone,5,average organization side later rock expert respond writer career,amazon,2022-12-03 00:00:00,65
Samsung Galaxy M14,Phone,2,good item cell well begin,AMAZON,2022-05-17 00:00:00,25
 Samsung Galaxy S22 ,Phone,3,delivery was delayed but the product is great,flipkart,2024-08-24,45
Samsung Galaxy Tab A8,Phone,2,average world new before produce sure street,amazon,2024-12-20 00:00:00,44
 Samsung Galaxy A14 ,Phone,1,bad top stand carry tough office employee until issue slow performance,AMAZON,2024-01-03 00:00:00,70
 Samsung Galaxy A14 ,Phone,3,average goal try guess heart receive something,FLIPKART,2023-07-04 00:00:00,46
 Samsung Galaxy M53 ,Phone,4,worth it woman week even north what character cultural,amazon,2023-07-01 00:00:00,54
Samsung Galaxy A14,Phone,2,excellent suggest future civil smile loss human,flipkart,2022-05-29 00:00:00,47
 Samsung Galaxy Book 2 ,Phone,5,waste of money,flipkart,2024-04-17 00:00:00,14
Samsung Galaxy Book 2,Phone,5,good discover cut former seven dream,AMAZON,2024-04-17 00:00:00,36
 Samsung Galaxy A54 ,Phone,3,waste of money,FLIPKART,2023-06-29 00:00:00,14
Samsung Galaxy S22,Phone,5,waste of money,amazon,2022-12-18 00:00:00,14
 Samsung Galaxy S23 ,Phone,5,worth it care a since seem heavy congress,AMAZON,2023-06-15 00:00:00,41
Samsung Buds 2,Earbuds,5,not great,AMAZON,2022-04-15 00:00:00,9
Samsung Galaxy M53,Phone,3,worth it everybody from natural writer fly image issue slow performance,flipkart,2023-02-24 00:00:00,71
 Samsung Galaxy M14 ,Phone,4,worth it somebody it forward watch rule push more learn,AMAZON,2022-03-29 00:00:00,55
 Samsung Charger 25W ,Charger,5,average health language explain money cost trouble social,amazon,2024-05-11 00:00:00,57
 Samsung Buds 2 ,Earbuds,4,waste of money safe public now notice billion bag finish finish,FLIPKART,2022-09-02 00:00:00,63
Samsung Buds 2,Earbuds,5,average near international design positive police part imagine,AMAZON,2023-05-22 00:00:00,62
Samsung Galaxy M53,Phone,4,not great size smile cut modern step themselves west,amazon,2024-02-28 00:00:00,52
Samsung Galaxy S22,Phone,2,not great stop address however fall state firm black issue charging problem,flipkart,2023-06-08 00:00:00,75
Samsung Galaxy M53,Phone,5,waste of money kind environmental final hand that long,FLIPKART,2022-09-27 00:00:00,54
Samsung Galaxy S22,Phone,3,average official high without store,amazon,2022-01-03 00:00:00,35
Samsung Galaxy A34,Phone,4,average too mind explain allow still,FLIPKART,2023-01-14 00:00:00,36
 Samsung Buds Live ,Earbuds,3,not great smile world listen certain,flipkart,2022-06-05 00:00:00,36
Samsung Galaxy S22,Phone,2,excellent work buy life role economic attorney what station,FLIPKART,2022-09-22 00:00:00,59
 Samsung Soundbar ,Other,2,software updates are slow,amazon,2024-06-12,25
 Samsung Galaxy Book 2 ,Phone,5,worth it yes first turn fly news develop treatment degree,flipkart,2024-12-26 00:00:00,57
Samsung Galaxy M53,Phone,3,not great issue battery draining fast,AMAZON,2022-07-28 00:00:00,37
Samsung Charger 25W,Charger,3,worth it issue overheating issue,FLIPKART,2023-10-27 00:00:00,32
Samsung Galaxy Tab S7 FE,Phone,3,not great soldier social toward usually material enter memory issue battery draining fast,flipkart,2024-02-07 00:00:00,89
Samsung Galaxy S23,Phone,4,not great together international indeed sell success page traditional,flipkart,2023-08-04 00:00:00,69
 Samsung Galaxy A14 ,Phone,3,good,AMAZON,2022-12-24 00:00:00,4
Samsung Galaxy S23,Phone,1,waste of money control tv window issue battery draining fast,FLIPKART,2022-09-18 00:00:00,60
 Samsung Buds Live ,Earbuds,2,bad hundred low try well number chair consider issue charging problem,AMAZON,2023-03-27 00:00:00,69
Samsung Galaxy A54,Phone,5,good floor young i contain manager father,AMAZON,2023-05-04 00:00:00,41
Samsung Galaxy Tab S7 FE,Phone,5,not great,FLIPKART,2022-06-08 00:00:00,9
Samsung Charger 25W,Charger,4,bad base after situation,flipkart,2024-12-18 00:00:00,24
Samsung Charger 25W,Charger,3,worth it who talk morning when understand sometimes issue overheating issue,FLIPKART,2023-02-07 00:00:00,75
 Samsung Galaxy A14 ,Phone,4,good,amazon,2023-09-01 00:00:00,4
Samsung Galaxy A54,Phone,5,good,flipkart,2024-04-07 00:00:00,4
Samsung Galaxy Book 3,Phone,2,waste of money issue overheating issue,FLIPKART,2022-03-23 00:00:00,38
 Samsung Buds Live ,Earbuds,1,worth it social kind concern night,flipkart,2022-11-19 00:00:00,34
Samsung Galaxy Book 2,Phone,5,waste of money performance character cultural respond various end,FLIPKART,2022-12-30 00:00:00,65
Samsung Galaxy A34,Phone,4,good name fund who hard song forward,AMAZON,2023-04-01 00:00:00,36
Samsung Galaxy A34,Phone,5,worth it while option weight hour wrong meeting church,AMAZON,2023-06-14 00:00:00,54
Samsung Galaxy Tab A8,Phone,3,waste of money pattern ability adult small issue slow performance,FLIPKART,2024-05-13 00:00:00,65
Samsung Galaxy A54,Phone,4,average,AMAZON,2022-06-27 00:00:00,7
Samsung Buds Live,Earbuds,4,not great,AMAZON,2023-10-16 00:00:00,9
Samsung Galaxy S21 FE,Phone,2,average issue battery draining fast,flipkart,2022-01-21 00:00:00,35
 Samsung Galaxy M34 ,Phone,3,not great when produce language agent yeah no hot issue battery draining fast,AMAZON,2022-03-26 00:00:00,77
Samsung Buds 2,Earbuds,4,average,FLIPKART,2024-02-29 00:00:00,7
Samsung Galaxy Tab A8,Phone,2,good bit president miss risk vote need,flipkart,2022-06-06 00:00:00,38
Samsung Galaxy A54,Phone,4,waste of money,amazon,2024-03-07 00:00:00,14
Samsung Galaxy A54,Phone,2,very userfriendly interface,amazon,2023-06-29,27
Samsung Charger 25W,Charger,1,average issue display flickering,FLIPKART,2022-08-02 00:00:00,32
Samsung Galaxy Tab A8,Phone,3,good lose dream stuff radio issue display flickering,FLIPKART,2022-07-13 00:00:00,52
Samsung Galaxy A54,Phone,2,excellent green act ago true strategy,amazon,2024-11-28 00:00:00,37
 Samsung Refrigerator ,Other,5,great value for money,AMAZON,2024-01-23,21
 Samsung Buds 2 ,Earbuds,3,bad guy century follow high issue charging problem,FLIPKART,2023-05-13 00:00:00,50
Samsung Charger 25W,Charger,5,average site leave understand democratic generation here can collection,FLIPKART,2024-12-11 00:00:00,71
